Category,Quality,Country,Year,Cases
Irish Whiskey,Standard,Canada,2000,25750
Irish Whiskey,Standard,Canada,2001,27500
Irish Whiskey,Standard,Canada,2002,30500
Irish Whiskey,Standard,Canada,2003,32150
Irish Whiskey,Standard,Canada,2004,35000
Irish Whiskey,Standard,Canada,2005,38000
Irish Whiskey,Standard,Canada,2006,40500
Irish Whiskey,Standard,Canada,2007,45100
Irish Whiskey,Standard,Canada,2008,50250
Irish Whiskey,Standard,Canada,2009,57000
Irish Whiskey,Standard,Canada,2010,65750
Irish Whiskey,Standard,Canada,2011,80500
Irish Whiskey,Standard,Canada,2012,108000
Irish Whiskey,Standard,Canada,2013,116000
Irish Whiskey,Standard,Canada,2014,140000
Irish Whiskey,Standard,Canada,2015,162750
Irish Whiskey,Standard,Canada,2016,182000
Irish Whiskey,Standard,Bulgaria,1990,0
Irish Whiskey,Standard,Bulgaria,1991,0
Irish Whiskey,Standard,Bulgaria,1992,250
Irish Whiskey,Standard,Bulgaria,1993,250
Irish Whiskey,Standard,Bulgaria,1994,500
Irish Whiskey,Standard,Bulgaria,1995,500
Irish Whiskey,Standard,Bulgaria,1996,500
Irish Whiskey,Standard,Bulgaria,1997,500
Irish Whiskey,Standard,Bulgaria,1998,2750
Irish Whiskey,Standard,Bulgaria,1999,9000
Irish Whiskey,Standard,Bulgaria,2000,17750
Irish Whiskey,Standard,Bulgaria,2001,24910
Irish Whiskey,Standard,Bulgaria,2002,37150
Irish Whiskey,Standard,Bulgaria,2003,43100
Irish Whiskey,Standard,Bulgaria,2004,48250
Irish Whiskey,Standard,Bulgaria,2005,49950
Irish Whiskey,Standard,Bulgaria,2006,61150
Irish Whiskey,Standard,Bulgaria,2007,89900
Irish Whiskey,Standard,Bulgaria,2008,121700
Irish Whiskey,Standard,Bulgaria,2009,117100
Irish Whiskey,Standard,Bulgaria,2010,131100
Irish Whiskey,Standard,Bulgaria,2011,143100
Irish Whiskey,Standard,Bulgaria,2012,145600
Irish Whiskey,Standard,Bulgaria,2013,149900
Irish Whiskey,Standard,Bulgaria,2014,161000
Irish Whiskey,Standard,Bulgaria,2015,158500
Irish Whiskey,Standard,Bulgaria,2016,169200
Irish Whiskey,Standard,Australia,1990,9000
Irish Whiskey,Standard,Australia,1991,8000
Irish Whiskey,Standard,Australia,1992,9500
Irish Whiskey,Standard,Australia,1993,11500
Irish Whiskey,Standard,Australia,1994,18500
Irish Whiskey,Standard,Australia,1995,24000
Irish Whiskey,Standard,Australia,1996,33750
Irish Whiskey,Standard,Australia,1997,37250
Irish Whiskey,Standard,Australia,1998,42200
Irish Whiskey,Standard,Australia,1999,44000
Irish Whiskey,Standard,Australia,2000,46000
Irish Whiskey,Standard,Australia,2001,47000
Irish Whiskey,Standard,Australia,2002,48500
Irish Whiskey,Standard,Australia,2003,55500
Irish Whiskey,Standard,Australia,2004,59750
Irish Whiskey,Standard,Australia,2005,60750
Irish Whiskey,Standard,Australia,2006,64250
Irish Whiskey,Standard,Australia,2007,63000
Irish Whiskey,Standard,Australia,2008,59500
Irish Whiskey,Standard,Australia,2009,68100
Irish Whiskey,Standard,Australia,2010,72250
Irish Whiskey,Standard,Australia,2011,80750
Irish Whiskey,Standard,Australia,2012,84150
Irish Whiskey,Standard,Australia,2013,91350
Irish Whiskey,Standard,Australia,2014,103350
Irish Whiskey,Standard,Australia,2015,107250
Irish Whiskey,Standard,Australia,2016,114000
Irish Whiskey,Standard,Sweden,1990,13300
Irish Whiskey,Standard,Sweden,1991,14500
Irish Whiskey,Standard,Sweden,1992,17400
Irish Whiskey,Standard,Sweden,1993,22900
Irish Whiskey,Standard,Sweden,1994,27400
Irish Whiskey,Standard,Sweden,1995,31000
Irish Whiskey,Standard,Sweden,1996,34400
Irish Whiskey,Standard,Sweden,1997,34050
Irish Whiskey,Standard,Sweden,1998,39000
Irish Whiskey,Standard,Sweden,1999,44500
Irish Whiskey,Standard,Sweden,2000,49500
Irish Whiskey,Standard,Sweden,2001,51600
Irish Whiskey,Standard,Sweden,2002,51880
Irish Whiskey,Standard,Sweden,2003,54600
Irish Whiskey,Standard,Sweden,2004,47050
Irish Whiskey,Standard,Sweden,2005,46300
Irish Whiskey,Standard,Sweden,2006,50950
Irish Whiskey,Standard,Sweden,2007,59300
Irish Whiskey,Standard,Sweden,2008,65450
Irish Whiskey,Standard,Sweden,2009,80930
Irish Whiskey,Standard,Sweden,2010,84400
Irish Whiskey,Standard,Sweden,2011,87250
Irish Whiskey,Standard,Sweden,2012,97400
Irish Whiskey,Standard,Sweden,2013,97500
Irish Whiskey,Standard,Sweden,2014,95000
Irish Whiskey,Standard,Sweden,2015,97000
Irish Whiskey,Standard,Sweden,2016,100000
Irish Whiskey,Standard,Poland,1990,250
Irish Whiskey,Standard,Poland,1991,0
Irish Whiskey,Standard,Poland,1992,250
Irish Whiskey,Standard,Poland,1993,250
Irish Whiskey,Standard,Poland,1994,800
Irish Whiskey,Standard,Poland,1995,1000
Irish Whiskey,Standard,Poland,1996,1000
Irish Whiskey,Standard,Poland,1997,1250
Irish Whiskey,Standard,Poland,1998,1900
Irish Whiskey,Standard,Poland,1999,3250
Irish Whiskey,Standard,Poland,2000,3750
Irish Whiskey,Standard,Poland,2001,3750
Irish Whiskey,Standard,Poland,2002,3900
Irish Whiskey,Standard,Poland,2003,4700
Irish Whiskey,Standard,Poland,2004,8000
Irish Whiskey,Standard,Poland,2005,10250
Irish Whiskey,Standard,Poland,2006,14000
Irish Whiskey,Standard,Poland,2007,22400
Irish Whiskey,Standard,Poland,2008,27200
Irish Whiskey,Standard,Poland,2009,28100
Irish Whiskey,Standard,Poland,2010,32250
Irish Whiskey,Standard,Poland,2011,37000
Irish Whiskey,Standard,Poland,2012,39550
Irish Whiskey,Standard,Poland,2013,51250
Irish Whiskey,Standard,Poland,2014,67500
Irish Whiskey,Standard,Poland,2015,77900
Irish Whiskey,Standard,Poland,2016,96750
Irish Whiskey,Standard,Portugal,1990,1750
Irish Whiskey,Standard,Portugal,1991,2400
Irish Whiskey,Standard,Portugal,1992,2500
Irish Whiskey,Standard,Portugal,1993,2900
Irish Whiskey,Standard,Portugal,1994,3800
Irish Whiskey,Standard,Portugal,1995,4200
Irish Whiskey,Standard,Portugal,1996,8650
Irish Whiskey,Standard,Portugal,1997,14550
Irish Whiskey,Standard,Portugal,1998,21200
Irish Whiskey,Standard,Portugal,1999,27000
Irish Whiskey,Standard,Portugal,2000,32550
Irish Whiskey,Standard,Portugal,2001,40750
Irish Whiskey,Standard,Portugal,2002,44850
Irish Whiskey,Standard,Portugal,2003,53200
Irish Whiskey,Standard,Portugal,2004,59100
Irish Whiskey,Standard,Portugal,2005,62250
Irish Whiskey,Standard,Portugal,2006,63750
Irish Whiskey,Standard,Portugal,2007,75750
Irish Whiskey,Standard,Portugal,2008,81750
Irish Whiskey,Standard,Portugal,2009,81500
Irish Whiskey,Standard,Portugal,2010,91450
Irish Whiskey,Standard,Portugal,2011,96200
Irish Whiskey,Standard,Portugal,2012,91850
Irish Whiskey,Standard,Portugal,2013,95300
Irish Whiskey,Standard,Portugal,2014,93100
Irish Whiskey,Standard,Portugal,2015,103050
Irish Whiskey,Standard,Portugal,2016,95150
Irish Whiskey,Standard,Slovakia,1990,
Irish Whiskey,Standard,Slovakia,1991,
Irish Whiskey,Standard,Slovakia,1992,
Irish Whiskey,Standard,Slovakia,1993,
Irish Whiskey,Standard,Slovakia,1994,0
Irish Whiskey,Standard,Slovakia,1995,250
Irish Whiskey,Standard,Slovakia,1996,750
Irish Whiskey,Standard,Slovakia,1997,1750
Irish Whiskey,Standard,Slovakia,1998,750
Irish Whiskey,Standard,Slovakia,1999,1600
Irish Whiskey,Standard,Slovakia,2000,1650
Irish Whiskey,Standard,Slovakia,2001,2000
Irish Whiskey,Standard,Slovakia,2002,2650
Irish Whiskey,Standard,Slovakia,2003,3850
Irish Whiskey,Standard,Slovakia,2004,5100
Irish Whiskey,Standard,Slovakia,2005,5250
Irish Whiskey,Standard,Slovakia,2006,5750
Irish Whiskey,Standard,Slovakia,2007,6750
Irish Whiskey,Standard,Slovakia,2008,7500
Irish Whiskey,Standard,Slovakia,2009,10880
Irish Whiskey,Standard,Slovakia,2010,12650
Irish Whiskey,Standard,Slovakia,2011,18550
Irish Whiskey,Standard,Slovakia,2012,27150
Irish Whiskey,Standard,Slovakia,2013,34250
Irish Whiskey,Standard,Slovakia,2014,46150
Irish Whiskey,Standard,Slovakia,2015,61250
Irish Whiskey,Standard,Slovakia,2016,75500
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),1990,19000
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),1991,28000
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),1992,29500
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),1993,31500
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),1994,31750
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),1995,33500
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),1996,34250
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),1997,29000
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),1998,38250
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),1999,40000
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2000,26350
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2001,32700
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2002,28250
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2003,27500
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2004,28200
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2005,29800
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2006,32850
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2007,44050
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2008,56075
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2009,52250
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2010,57000
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2011,70675
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2012,72475
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2013,75600
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2014,76390
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2015,69750
Irish Whiskey,Standard,DF Nordic Countries - (All Countries),2016,72925
Irish Whiskey,Standard,Denmark,1990,6800
Irish Whiskey,Standard,Denmark,1991,6300
Irish Whiskey,Standard,Denmark,1992,6000
Irish Whiskey,Standard,Denmark,1993,6000
Irish Whiskey,Standard,Denmark,1994,6750
Irish Whiskey,Standard,Denmark,1995,7000
Irish Whiskey,Standard,Denmark,1996,9500
Irish Whiskey,Standard,Denmark,1997,9950
Irish Whiskey,Standard,Denmark,1998,13000
Irish Whiskey,Standard,Denmark,1999,14700
Irish Whiskey,Standard,Denmark,2000,16000
Irish Whiskey,Standard,Denmark,2001,18350
Irish Whiskey,Standard,Denmark,2002,20000
Irish Whiskey,Standard,Denmark,2003,27000
Irish Whiskey,Standard,Denmark,2004,34300
Irish Whiskey,Standard,Denmark,2005,37500
Irish Whiskey,Standard,Denmark,2006,43000
Irish Whiskey,Standard,Denmark,2007,45900
Irish Whiskey,Standard,Denmark,2008,46300
Irish Whiskey,Standard,Denmark,2009,49750
Irish Whiskey,Standard,Denmark,2010,53000
Irish Whiskey,Standard,Denmark,2011,48600
Irish Whiskey,Standard,Denmark,2012,49670
Irish Whiskey,Standard,Denmark,2013,49050
Irish Whiskey,Standard,Denmark,2014,48230
Irish Whiskey,Standard,Denmark,2015,62000
Irish Whiskey,Standard,Denmark,2016,64400
Irish Whiskey,Standard,Netherlands,1990,29000
Irish Whiskey,Standard,Netherlands,1991,31000
Irish Whiskey,Standard,Netherlands,1992,32600
Irish Whiskey,Standard,Netherlands,1993,33100
Irish Whiskey,Standard,Netherlands,1994,32600
Irish Whiskey,Standard,Netherlands,1995,38400
Irish Whiskey,Standard,Netherlands,1996,41500
Irish Whiskey,Standard,Netherlands,1997,45600
Irish Whiskey,Standard,Netherlands,1998,51150
Irish Whiskey,Standard,Netherlands,1999,55150
Irish Whiskey,Standard,Netherlands,2000,60000
Irish Whiskey,Standard,Netherlands,2001,62600
Irish Whiskey,Standard,Netherlands,2002,65500
Irish Whiskey,Standard,Netherlands,2003,60250
Irish Whiskey,Standard,Netherlands,2004,59500
Irish Whiskey,Standard,Netherlands,2005,60000
Irish Whiskey,Standard,Netherlands,2006,60000
Irish Whiskey,Standard,Netherlands,2007,60500
Irish Whiskey,Standard,Netherlands,2008,65750
Irish Whiskey,Standard,Netherlands,2009,63750
Irish Whiskey,Standard,Netherlands,2010,68450
Irish Whiskey,Standard,Netherlands,2011,67700
Irish Whiskey,Standard,Netherlands,2012,69850
Irish Whiskey,Standard,Netherlands,2013,64100
Irish Whiskey,Standard,Netherlands,2014,63000
Irish Whiskey,Standard,Netherlands,2015,60700
Irish Whiskey,Standard,Netherlands,2016,62250
Irish Whiskey,Standard,Latvia,1990,
Irish Whiskey,Standard,Latvia,1991,
Irish Whiskey,Standard,Latvia,1992,0
Irish Whiskey,Standard,Latvia,1993,250
Irish Whiskey,Standard,Latvia,1994,500
Irish Whiskey,Standard,Latvia,1995,750
Irish Whiskey,Standard,Latvia,1996,1250
Irish Whiskey,Standard,Latvia,1997,2500
Irish Whiskey,Standard,Latvia,1998,4000
Irish Whiskey,Standard,Latvia,1999,7250
Irish Whiskey,Standard,Latvia,2000,6750
Irish Whiskey,Standard,Latvia,2001,7000
Irish Whiskey,Standard,Latvia,2002,6330
Irish Whiskey,Standard,Latvia,2003,12450
Irish Whiskey,Standard,Latvia,2004,15850
Irish Whiskey,Standard,Latvia,2005,23750
Irish Whiskey,Standard,Latvia,2006,33600
Irish Whiskey,Standard,Latvia,2007,54250
Irish Whiskey,Standard,Latvia,2008,60250
Irish Whiskey,Standard,Latvia,2009,30450
Irish Whiskey,Standard,Latvia,2010,34400
Irish Whiskey,Standard,Latvia,2011,38900
Irish Whiskey,Standard,Latvia,2012,43940
Irish Whiskey,Standard,Latvia,2013,56000
Irish Whiskey,Standard,Latvia,2014,58420
Irish Whiskey,Standard,Latvia,2015,60170
Irish Whiskey,Standard,Latvia,2016,60750
Irish Whiskey,Standard,Greece,1990,5000
Irish Whiskey,Standard,Greece,1991,6000
Irish Whiskey,Standard,Greece,1992,9000
Irish Whiskey,Standard,Greece,1993,14000
Irish Whiskey,Standard,Greece,1994,17000
Irish Whiskey,Standard,Greece,1995,20000
Irish Whiskey,Standard,Greece,1996,29000
Irish Whiskey,Standard,Greece,1997,34000
Irish Whiskey,Standard,Greece,1998,35500
Irish Whiskey,Standard,Greece,1999,39250
Irish Whiskey,Standard,Greece,2000,43500
Irish Whiskey,Standard,Greece,2001,44250
Irish Whiskey,Standard,Greece,2002,46000
Irish Whiskey,Standard,Greece,2003,45500
Irish Whiskey,Standard,Greece,2004,45750
Irish Whiskey,Standard,Greece,2005,45750
Irish Whiskey,Standard,Greece,2006,45500
Irish Whiskey,Standard,Greece,2007,46250
Irish Whiskey,Standard,Greece,2008,44500
Irish Whiskey,Standard,Greece,2009,43100
Irish Whiskey,Standard,Greece,2010,37250
Irish Whiskey,Standard,Greece,2011,36500
Irish Whiskey,Standard,Greece,2012,38500
Irish Whiskey,Standard,Greece,2013,44250
Irish Whiskey,Standard,Greece,2014,47750
Irish Whiskey,Standard,Greece,2015,51900
Irish Whiskey,Standard,Greece,2016,60500
Irish Whiskey,Standard,DF Russia,1990,
Irish Whiskey,Standard,DF Russia,1991,
Irish Whiskey,Standard,DF Russia,1992,
Irish Whiskey,Standard,DF Russia,1993,
Irish Whiskey,Standard,DF Russia,1994,
Irish Whiskey,Standard,DF Russia,1995,
Irish Whiskey,Standard,DF Russia,1996,
Irish Whiskey,Standard,DF Russia,1997,
Irish Whiskey,Standard,DF Russia,1998,
Irish Whiskey,Standard,DF Russia,1999,
Irish Whiskey,Standard,DF Russia,2000,
Irish Whiskey,Standard,DF Russia,2001,3750
Irish Whiskey,Standard,DF Russia,2002,6250
Irish Whiskey,Standard,DF Russia,2003,8750
Irish Whiskey,Standard,DF Russia,2004,8750
Irish Whiskey,Standard,DF Russia,2005,10525
Irish Whiskey,Standard,DF Russia,2006,11750
Irish Whiskey,Standard,DF Russia,2007,27800
Irish Whiskey,Standard,DF Russia,2008,37925
Irish Whiskey,Standard,DF Russia,2009,45600
Irish Whiskey,Standard,DF Russia,2010,54300
Irish Whiskey,Standard,DF Russia,2011,85525
Irish Whiskey,Standard,DF Russia,2012,103250
Irish Whiskey,Standard,DF Russia,2013,119250
Irish Whiskey,Standard,DF Russia,2014,93825
Irish Whiskey,Standard,DF Russia,2015,60235
Irish Whiskey,Standard,DF Russia,2016,58590
Irish Whiskey,Standard,Ukraine,1990,
Irish Whiskey,Standard,Ukraine,1991,
Irish Whiskey,Standard,Ukraine,1992,
Irish Whiskey,Standard,Ukraine,1993,
Irish Whiskey,Standard,Ukraine,1994,
Irish Whiskey,Standard,Ukraine,1995,0
